Benchmark,Replacement Type,Cache config,IPC value,Missrate
perl,PLRU,dl2_128_64_8_p_5_6,1.2556,0.0002
perl,PLRU,dl2_256_64_16_p_9_12,1.2556,0.0002
perl,PLRU,dl2_256_64_32_p_17_24,1.2556,0.0002
perl,PLRU,dl2_256_64_4_p_3_3,1.2556,0.0002
perl,PLRU,dl2_256_64_8_p_5_6,1.2556,0.0002
perl,PLRU,dl2_32_64_16_p_9_12,0.7276,0.0618
perl,PLRU,dl2_32_64_32_p_17_24,0.7276,0.0618
perl,PLRU,dl2_32_64_4_p_3_3,0.4760,0.1540
perl,PLRU,dl2_32_64_8_p_5_6,0.7276,0.0618
perl,PLRU,dl2_512_64_16_p_9_12,1.2556,0.0002
perl,PLRU,dl2_512_64_32_p_17_24,1.2556,0.0002
perl,PLRU,dl2_512_64_4_p_3_3,1.2556,0.0002
perl,PLRU,dl2_512_64_8_p_5_6,1.2556,0.0002
perl,PLRU,dl2_64_64_16_p_9_12,1.2555,0.0002
perl,PLRU,dl2_64_64_32_p_17_24,1.2555,0.0002
perl,PLRU,dl2_64_64_4_p_3_3,1.0582,0.0310
perl,PLRU,dl2_64_64_8_p_5_6,1.2555,0.0002
perl,SCORE,dl2_1024_64_16,1.2556,0.0002
perl,SCORE,dl2_1024_64_32,1.2556,0.0002
perl,SCORE,dl2_1024_64_4,1.2556,0.0002
perl,SCORE,dl2_1024_64_8,1.2556,0.0002
perl,SCORE,dl2_128_64_16,1.2556,0.0002
perl,SCORE,dl2_128_64_32,1.2556,0.0002
perl,SCORE,dl2_128_64_4,1.2556,0.0002
perl,SCORE,dl2_128_64_8,1.2556,0.0002
perl,SCORE,dl2_256_64_16,1.2556,0.0002
perl,SCORE,dl2_256_64_32,1.2556,0.0002
perl,SCORE,dl2_256_64_4,1.2556,0.0002
perl,SCORE,dl2_256_64_8,1.2556,0.0002
perl,SCORE,dl2_32_64_16,1.2553,0.0003
perl,SCORE,dl2_32_64_32,1.2553,0.0003
perl,SCORE,dl2_32_64_4,0.6565,0.0925
perl,SCORE,dl2_32_64_8,0.9212,0.0310
perl,SCORE,dl2_512_64_16,1.2556,0.0002
perl,SCORE,dl2_512_64_32,1.2556,0.0002
perl,SCORE,dl2_512_64_4,1.2556,0.0002
perl,SCORE,dl2_512_64_8,1.2556,0.0002
perl,SCORE,dl2_64_64_16,1.2555,0.0002
perl,SCORE,dl2_64_64_32,1.2555,0.0002
perl,SCORE,dl2_64_64_4,1.0582,0.0310
perl,SCORE,dl2_64_64_8,1.2555,0.0002
